# Pathway	QFS6_kneaddata_merged_Abundance
UNMAPPED	1392311.7107170587
UNINTEGRATED	2877501.0277021015
UNINTEGRATED|unclassified	878377.8460620643
UNINTEGRATED|g__Bacteroides.s__Bacteroides_xylanisolvens	278250.0136377804
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	237637.5023129510
UNINTEGRATED|g__Alistipes.s__Alistipes_putredinis	212524.3971555891
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	204450.5901028615
UNINTEGRATED|g__Alistipes.s__Alistipes_finegoldii	176947.0276761327
UNINTEGRATED|g__Sutterella.s__Sutterella_wadsworthensis	171241.9062750167
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	124320.5396463363
UNINTEGRATED|g__Bacteroides.s__Bacteroides_eggerthii	87637.6582666700
UNINTEGRATED|g__Barnesiella.s__Barnesiella_intestinihominis	77652.6990883906
UNINTEGRATED|g__Bacteroides.s__Bacteroides_stercoris	76184.6773867489
UNINTEGRATED|g__Alistipes.s__Alistipes_shahii	71624.9261330796
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_merdae	60586.8672249771
UNINTEGRATED|g__Bacteroides.s__Bacteroides_intestinalis	58553.8401899567
UNINTEGRATED|g__Eubacterium.s__Eubacterium_rectale	35688.8613370549
UNINTEGRATED|g__Bacteroides.s__Bacteroides_clarus	32861.0557827228
UNINTEGRATED|g__Bacteroides.s__Bacteroides_fragilis	27131.5005142339
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_callidus	26605.8844179007
UNINTEGRATED|g__Clostridium.s__Clostridium_bolteae	24230.1385161161
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	23790.2756961963
UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis	22715.9281463560
UNINTEGRATED|g__Bacteroides.s__Bacteroides_faecis	20901.9213721888
UNINTEGRATED|g__Roseburia.s__Roseburia_hominis	19873.1458298204
UNINTEGRATED|g__Blautia.s__Ruminococcus_obeum	18133.1492179718
UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans	13712.9627734512
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_distasonis	13119.8368864749
UNINTEGRATED|g__Odoribacter.s__Odoribacter_splanchnicus	11816.5013521730
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ramulus	10979.9071036584
UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes	9910.3024794952
UNINTEGRATED|g__Anaerotruncus.s__Anaerotruncus_colihominis	9861.1377624226
UNINTEGRATED|g__Coprobacter.s__Coprobacter_fastidiosus	8957.8020568629
UNINTEGRATED|g__Clostridium.s__Clostridium_asparagiforme	7690.8625406823
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	7384.7508360910
UNINTEGRATED|g__Coprococcus.s__Coprococcus_sp_ART55_1	7353.9267680244
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_longum	7153.8117412284
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	6909.1161439656
UNINTEGRATED|g__Clostridium.s__Clostridium_citroniae	6817.5082566360
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	5057.2132121915
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	4151.3526281619
UNINTEGRATED|g__Parasutterella.s__Parasutterella_excrementihominis	3691.6288505380
UNINTEGRATED|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_7_1_58FAA	3013.1878050115
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_adolescentis	2968.4332871750
UNINTEGRATED|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	2699.8162682868
UNINTEGRATED|g__Streptococcus.s__Streptococcus_thermophilus	2249.9020265393
UNINTEGRATED|g__Haemophilus.s__Haemophilus_parainfluenzae	1305.1900351497
UNINTEGRATED|g__Dialister.s__Dialister_invisus	1038.9421404853
UNINTEGRATED|g__Veillonella.s__Veillonella_parvula	1001.0790689459
PWY-7219: adenosine ribonucleotides de novo biosynthesis	3855.5766750630
PWY-7219: adenosine ribonucleotides de novo biosynthesis|unclassified	1769.9010527239
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_xylanisolvens	251.5130463624
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Alistipes.s__Alistipes_putredinis	219.8446717286
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	208.8922439092
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Alistipes.s__Alistipes_finegoldii	186.4536089983
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Sutterella.s__Sutterella_wadsworthensis	178.0354995557
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	158.7931850504
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Barnesiella.s__Barnesiella_intestinihominis	127.1546313015
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Alistipes.s__Alistipes_shahii	117.7025144946
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	90.6582742495
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_eggerthii	88.0858800928
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_stercoris	84.5550327389
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_rectale	59.2678455635
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_eligens	57.3187272603
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_clarus	47.2584146638
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_intestinalis	36.6420948725
