# Pathway	QFS31_kneaddata_merged_Abundance
UNMAPPED	1628435.5786500440
UNINTEGRATED	2299352.1831288463
UNINTEGRATED|unclassified	781853.0284947507
UNINTEGRATED|g__Alistipes.s__Alistipes_putredinis	239814.8313481670
UNINTEGRATED|g__Alistipes.s__Alistipes_shahii	187897.6558326182
UNINTEGRATED|g__Bilophila.s__Bilophila_wadsworthia	116850.3690672486
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	116203.2330253708
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caccae	86079.2725196930
UNINTEGRATED|g__Barnesiella.s__Barnesiella_intestinihominis	81566.8499284353
UNINTEGRATED|g__Alistipes.s__Alistipes_senegalensis	79938.6746949170
UNINTEGRATED|g__Bacteroides.s__Bacteroides_dorei	62279.8097928484
UNINTEGRATED|g__Bacteroides.s__Bacteroides_stercoris	61194.9949175789
UNINTEGRATED|g__Alistipes.s__Alistipes_finegoldii	60335.9351018865
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	51877.1305086823
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_merdae	51378.0396377670
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bromii	50749.3241274279
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	40881.1606127813
UNINTEGRATED|g__Akkermansia.s__Akkermansia_muciniphila	37019.0339122157
UNINTEGRATED|g__Subdoligranulum.s__Subdoligranulum_sp_4_3_54A2FAA	33986.5038652708
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	30312.0986504540
UNINTEGRATED|g__Eubacterium.s__Eubacterium_rectale	20714.8308048429
UNINTEGRATED|g__Bacteroides.s__Bacteroides_intestinalis	19184.6036257608
UNINTEGRATED|g__Eubacterium.s__Eubacterium_siraeum	15971.9615042901
UNINTEGRATED|g__Bacteroides.s__Bacteroides_cellulosilyticus	15903.6620478030
UNINTEGRATED|g__Odoribacter.s__Odoribacter_splanchnicus	13601.3792172157
UNINTEGRATED|g__Holdemania.s__Holdemania_filiformis	11839.7523959061
UNINTEGRATED|g__Paraprevotella.s__Paraprevotella_clara	11176.5048999783
